TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY	EXTRA
accounts	id	int(11)	NO	NULL	PRI	auto_increment
accounts	nome	varchar(191)	NO	NULL		
accounts	tipo	enum('matriz','filial')	NO	'matriz'	MUL	
accounts	matriz_id	int(11)	YES	NULL	MUL	
accounts	codigo_vinculo	varchar(64)	NO	NULL	UNI	
accounts	plano	varchar(50)	NO	'basico'		
accounts	status	enum('active','suspended','cancelled')	YES	'active'	MUL	
accounts	configuracoes	longtext	YES	NULL		
accounts	created_at	datetime	YES	current_timestamp()		
accounts	updated_at	datetime	YES	current_timestamp()		on update current_timestamp()
accounts	deleted_at	datetime	YES	NULL		
account_audit_log	id	bigint(20) unsigned	NO	NULL	PRI	auto_increment
account_audit_log	account_id	int(11)	NO	NULL	MUL	
account_audit_log	user_id	int(11)	YES	NULL	MUL	
account_audit_log	acao	varchar(100)	NO	NULL		
account_audit_log	entidade	varchar(100)	YES	NULL		
account_audit_log	entidade_id	int(11)	YES	NULL		
account_audit_log	dados_antes	longtext	YES	NULL		
account_audit_log	dados_depois	longtext	YES	NULL		
account_audit_log	ip	varchar(45)	YES	NULL		
account_audit_log	created_at	datetime	NO	current_timestamp()	MUL	
account_notifications	id	int(11)	NO	NULL	PRI	auto_increment
account_notifications	account_id	int(11)	NO	NULL	MUL	
account_notifications	user_id	int(11)	YES	NULL	MUL	
account_notifications	tipo	varchar(50)	NO	NULL	MUL	
account_notifications	titulo	varchar(255)	NO	NULL		
account_notifications	mensagem	text	YES	NULL		
account_notifications	lida	tinyint(1)	YES	0	MUL	
account_notifications	payload	longtext	YES	NULL		
account_notifications	created_at	datetime	YES	current_timestamp()		
account_notifications	lida_em	datetime	YES	NULL		
account_vinculos	id	int(11)	NO	NULL	PRI	auto_increment
account_vinculos	matriz_account_id	int(11)	NO	NULL	MUL	
account_vinculos	filial_account_id	int(11)	NO	NULL	MUL	
account_vinculos	status	enum('pending','active','suspended','rejected')	YES	'pending'	MUL	
account_vinculos	solicitado_por	int(11)	YES	NULL		
account_vinculos	aprovado_por	int(11)	YES	NULL		
account_vinculos	solicitado_em	datetime	YES	current_timestamp()		
account_vinculos	aprovado_em	datetime	YES	NULL		
account_vinculos	suspenso_em	datetime	YES	NULL		
account_vinculos	motivo_suspensao	text	YES	NULL		
account_vinculos	created_at	datetime	YES	current_timestamp()		
account_vinculos	updated_at	datetime	YES	current_timestamp()		on update current_timestamp()
advogado_convites	id	int(11)	NO	NULL	PRI	auto_increment
advogado_convites	resource_type	enum('card','processo','contato')	NO	NULL	MUL	
advogado_convites	resource_id	int(11)	NO	NULL		
advogado_convites	from_account_id	int(11)	NO	NULL	MUL	
advogado_convites	convidado_user_id	int(11)	YES	NULL	MUL	
advogado_convites	convidado_email	varchar(191)	NO	NULL	MUL	
advogado_convites	convidado_nome	varchar(191)	YES	NULL		
advogado_convites	token_convite	varchar(64)	NO	NULL	UNI	
advogado_convites	permission_level	enum('view','edit')	NO	'view'		
advogado_convites	mensagem	text	YES	NULL		
advogado_convites	status	enum('pending','accepted','rejected','revoked','expired')	YES	'pending'	MUL	
advogado_convites	expires_at	datetime	NO	NULL	MUL	
advogado_convites	created_at	datetime	YES	current_timestamp()		
advogado_convites	responded_at	datetime	YES	NULL		
advogado_convites	revoked_at	datetime	YES	NULL		
advogado_convites	revoked_by	int(11)	YES	NULL		
cards	id	int(11)	NO	NULL	PRI	auto_increment
cards	account_id	int(11)	YES	NULL	MUL	
cards	cliente_nome	varchar(191)	NO	NULL		
cards	empresa_nome	varchar(191)	YES	NULL		
cards	telefone_whatsapp	varchar(50)	YES	NULL		
cards	email	varchar(191)	YES	NULL		
cards	responsavel_user_id	int(11)	YES	NULL		
cards	coluna_id	int(11)	YES	NULL		
cards	ordem_na_coluna	int(11)	YES	0		
cards	valor_estimado	decimal(15,2)	YES	0.00		
cards	valor_proposta	decimal(15,2)	YES	0.00		
cards	valor_fechado_final	decimal(15,2)	YES	0.00		
cards	data_prevista_fechamento	date	YES	NULL		
cards	data_fechamento	date	YES	NULL		
cards	descricao	text	YES	NULL		
cards	status	varchar(50)	YES	'aberto'		
cards	created_at	datetime	YES	current_timestamp()		
cards	updated_at	datetime	YES	current_timestamp()		on update current_timestamp()
cards	deleted_at	datetime	YES	NULL		
cards	deleted_by	int(11)	YES	NULL		
cards	checklist_percentual	decimal(5,2)	YES	0.00		
cards	contato_id	int(11)	YES	NULL	MUL	
cards	titulo	varchar(255)	YES	NULL		
card_checklist_items	id	int(11)	NO	NULL	PRI	auto_increment
card_checklist_items	card_id	int(11)	NO	NULL		
card_checklist_items	titulo	varchar(255)	NO	NULL		
card_checklist_items	concluido	tinyint(1)	YES	0		
card_checklist_items	ordem	int(11)	YES	0		
card_checklist_items	created_at	datetime	YES	current_timestamp()		
card_checklist_items	updated_at	datetime	YES	current_timestamp()		on update current_timestamp()
card_history	id	int(11)	NO	NULL	PRI	auto_increment
card_history	card_id	int(11)	NO	NULL		
card_history	usuario_id	int(11)	YES	NULL		
card_history	acao	varchar(100)	YES	NULL		
card_history	campo_alterado	varchar(100)	YES	NULL		
card_history	valor_anterior	text	YES	NULL		
card_history	valor_novo	text	YES	NULL		
card_history	de_coluna_id	int(11)	YES	NULL		
card_history	para_coluna_id	int(11)	YES	NULL		
card_history	created_at	datetime	YES	current_timestamp()		
chat_conversas	id	int(10) unsigned	NO	NULL	PRI	auto_increment
chat_conversas	account_id	int(10) unsigned	YES	NULL	MUL	
chat_conversas	nome	varchar(200)	YES	NULL		
chat_conversas	tipo	enum('direto','grupo','geral','setor','filial','matriz','advogado')	NO	'direto'	MUL	
chat_conversas	team_id	int(10) unsigned	YES	NULL	MUL	
chat_conversas	ref_account_id	int(10) unsigned	YES	NULL	MUL	
chat_conversas	criado_por	int(10) unsigned	NO	NULL	MUL	
chat_conversas	created_at	datetime	NO	current_timestamp()		
chat_conversas	updated_at	datetime	NO	current_timestamp()	MUL	on update current_timestamp()
chat_conversas	archived_at	datetime	YES	NULL	MUL	
chat_conversas	deleted_at	datetime	YES	NULL	MUL	
chat_conversas	canal_geral_key	varchar(64)	YES	NULL	UNI	
chat_mencoes	id	int(10) unsigned	NO	NULL	PRI	auto_increment
chat_mencoes	mensagem_id	int(10) unsigned	NO	NULL	MUL	
chat_mencoes	tipo	enum('usuario','processo','card')	NO	NULL	MUL	
chat_mencoes	referencia_id	int(10) unsigned	NO	NULL		
chat_mencoes	texto_exibido	varchar(200)	NO	NULL		
chat_mencoes	url_destino	varchar(500)	NO	NULL		
chat_mencoes	created_at	datetime	NO	current_timestamp()		
chat_mensagens	id	int(10) unsigned	NO	NULL	PRI	auto_increment
chat_mensagens	conversa_id	int(10) unsigned	NO	NULL	MUL	
chat_mensagens	usuario_id	int(10) unsigned	NO	NULL	MUL	
chat_mensagens	mensagem	text	NO	NULL		
chat_mensagens	created_at	datetime	NO	current_timestamp()	MUL	
chat_participantes	id	int(10) unsigned	NO	NULL	PRI	auto_increment
chat_participantes	conversa_id	int(10) unsigned	NO	NULL	MUL	
chat_participantes	usuario_id	int(10) unsigned	NO	NULL	MUL	
chat_participantes	ultima_leitura_id	int(10) unsigned	YES	NULL		
chat_participantes	created_at	datetime	NO	current_timestamp()		
contatos	id	int(11)	NO	NULL	PRI	auto_increment
contatos	account_id	int(11)	YES	NULL	MUL	
contatos	nome	varchar(191)	NO	NULL		
contatos	telefone	varchar(30)	YES	NULL	UNI	
contatos	remote_jid	varchar(120)	YES	NULL	UNI	
contatos	email	varchar(191)	YES	NULL		
contatos	observacoes	text	YES	NULL		
contatos	created_at	datetime	YES	current_timestamp()		
contatos	updated_at	datetime	YES	current_timestamp()		on update current_timestamp()
contato_vinculos	id	int(11)	NO	NULL	PRI	auto_increment
contato_vinculos	contato_id	int(11)	NO	NULL	MUL	
contato_vinculos	tipo_vinculo	enum('card','processo','chat')	NO	NULL	MUL	
contato_vinculos	referencia_id	int(11)	NO	NULL		
contato_vinculos	origem	varchar(50)	NO	'manual'		
contato_vinculos	ativo	tinyint(1)	NO	1	MUL	
contato_vinculos	created_at	datetime	YES	current_timestamp()		
contato_vinculos	updated_at	datetime	YES	current_timestamp()		on update current_timestamp()
dre_accounts	id	int(11)	NO	NULL	PRI	auto_increment
dre_accounts	account_id	int(11)	YES	NULL	MUL	
